0.8444, 0.8272, 0.0334, 0.2478, 0.6591  0.0 0.0 0.0 0.0 0.0 1.0 
0.7667, 0.6726, 0.3783, 0.1239, 0.5109  0.0 0.0 0.0 0.0 0.0 1.0 
0.8333, 0.8091, 0.0688, 0.0000, 1.0000  0.0 0.0 0.0 0.0 0.0 1.0 
0.8000, 0.7174, 0.3442, 0.5233, 0.1684  0.0 0.0 0.0 0.0 0.0 1.0 
0.8556, 0.7651, 0.4529, 0.1191, 0.5510  0.0 0.0 0.0 0.0 0.0 1.0 
0.8333, 0.7792, 0.0980, 0.0033, 0.8201  0.0 0.0 0.0 0.0 0.0 1.0 
0.8000, 0.8002, 0.0000, 0.4371, 0.2956  0.0 0.0 0.0 0.0 0.0 1.0 
0.8111, 0.8133, 0.1215, 0.5846, 0.1936  0.0 0.0 0.0 0.0 0.0 1.0 
0.8667, 0.8557, 0.0613, 0.5513, 0.1836  0.0 0.0 0.0 0.0 0.0 1.0 
0.5667, 0.5544, 0.0739, 0.5891, 0.2182  0.0 0.0 0.0 0.0 1.0 0.0 
0.5556, 0.5668, 0.0997, 0.7258, 0.1148  0.0 0.0 0.0 0.0 1.0 0.0 
0.5333, 0.5333, 0.1348, 0.6209, 0.2385  0.0 0.0 0.0 0.0 1.0 0.0 
0.5000, 0.5089, 0.1526, 0.6207, 0.1945  0.0 0.0 0.0 0.0 1.0 0.0 
0.5444, 0.5536, 0.0972, 0.6035, 0.2158  0.0 0.0 0.0 0.0 1.0 0.0 
0.5000, 0.5124, 0.1952, 0.5974, 0.2183  0.0 0.0 0.0 0.0 1.0 0.0 
0.4778, 0.4792, 0.1570, 0.6527, 0.2150  0.0 0.0 0.0 0.0 1.0 0.0 
0.5056, 0.5009, 0.1862, 0.5942, 0.2143  0.0 0.0 0.0 0.0 1.0 0.0 
0.5000, 0.5005, 0.2400, 0.5835, 0.1950  0.0 0.0 0.0 0.0 1.0 0.0 
0.3333, 0.4159, 0.3624, 0.9482, 0.0668  0.0 0.0 0.0 0.0 1.0 1.0 
0.3444, 0.4387, 0.3465, 0.9851, 0.0470  0.0 0.0 0.0 0.0 1.0 1.0 
0.3556, 0.4353, 0.3165, 0.9352, 0.0776  0.0 0.0 0.0 0.0 1.0 1.0 
0.4000, 0.4739, 0.2437, 0.9577, 0.0250  0.0 0.0 0.0 0.0 1.0 1.0 
0.4444, 0.5030, 0.2516, 0.9084, 0.0196  0.0 0.0 0.0 0.0 1.0 1.0 
0.6333, 0.6498, 0.3000, 0.6683, 0.1342  0.0 0.0 0.0 0.0 1.0 1.0 
0.6556, 0.6900, 0.2622, 0.7416, 0.0734  0.0 0.0 0.0 0.0 1.0 1.0 
0.6000, 0.6436, 0.2652, 0.6873, 0.1421  0.0 0.0 0.0 0.0 1.0 1.0 
0.6556, 0.6835, 0.2363, 0.7450, 0.0768  0.0 0.0 0.0 0.0 1.0 1.0 
0.4889, 0.5197, 0.2127, 0.8489, 0.0953  0.0 0.0 0.0 1.0 0.0 0.0 
0.4556, 0.4817, 0.2351, 0.8262, 0.0796  0.0 0.0 0.0 1.0 0.0 0.0 
0.4778, 0.5131, 0.1891, 0.8403, 0.1069  0.0 0.0 0.0 1.0 0.0 0.0 
0.6889, 0.7117, 0.1919, 0.7295, 0.0689  0.0 0.0 0.0 1.0 0.0 0.0 
0.6556, 0.6654, 0.2541, 0.7403, 0.0650  0.0 0.0 0.0 1.0 0.0 0.0 
0.7222, 0.7141, 0.2372, 0.6827, 0.0713  0.0 0.0 0.0 1.0 0.0 0.0 
0.7111, 0.7195, 0.1810, 0.7058, 0.0755  0.0 0.0 0.0 1.0 0.0 0.0 
0.5000, 0.5318, 0.2199, 0.8356, 0.0962  0.0 0.0 0.0 1.0 0.0 0.0 
0.4444, 0.4722, 0.2513, 0.8431, 0.0797  0.0 0.0 0.0 1.0 0.0 0.0 
0.5222, 0.5430, 0.2093, 0.8430, 0.0718  0.0 0.0 0.0 1.0 0.0 1.0 
0.4333, 0.4829, 0.2990, 0.8587, 0.0546  0.0 0.0 0.0 1.0 0.0 1.0 
0.4333, 0.4706, 0.3069, 0.8404, 0.0578  0.0 0.0 0.0 1.0 0.0 1.0 
0.5222, 0.5462, 0.1917, 0.8420, 0.0720  0.0 0.0 0.0 1.0 0.0 1.0 
0.7222, 0.6859, 0.3201, 0.6384, 0.0673  0.0 0.0 0.0 1.0 0.0 1.0 
0.7222, 0.6928, 0.2847, 0.6418, 0.0865  0.0 0.0 0.0 1.0 0.0 1.0 
0.5278, 0.5460, 0.1719, 0.8312, 0.0820  0.0 0.0 0.0 1.0 0.0 1.0 
0.6667, 0.6583, 0.2780, 0.7137, 0.0751  0.0 0.0 0.0 1.0 0.0 1.0 
0.7111, 0.6865, 0.2430, 0.6729, 0.0892  0.0 0.0 0.0 1.0 0.0 1.0 
0.7278, 0.7446, 0.1223, 0.7683, 0.0683  0.0 0.0 0.0 1.0 1.0 0.0 
0.7111, 0.7330, 0.1005, 0.8127, 0.0766  0.0 0.0 0.0 1.0 1.0 0.0 
0.7722, 0.7764, 0.1190, 0.7159, 0.0823  0.0 0.0 0.0 1.0 1.0 0.0 
0.9556, 0.9695, 0.0648, 0.7171, 0.1093  0.0 0.0 0.0 1.0 1.0 0.0 
0.9889, 1.0000, 0.0490, 0.6408, 0.1352  0.0 0.0 0.0 1.0 1.0 0.0 
0.9889, 0.9979, 0.0326, 0.6528, 0.1468  0.0 0.0 0.0 1.0 1.0 0.0 
0.9889, 0.9882, 0.0649, 0.6361, 0.1125  0.0 0.0 0.0 1.0 1.0 0.0 
0.9778, 0.9906, 0.0605, 0.6976, 0.0991  0.0 0.0 0.0 1.0 1.0 0.0 
1.0000, 0.9936, 0.0964, 0.6381, 0.0952  0.0 0.0 0.0 1.0 1.0 0.0 
0.7444, 0.7605, 0.2162, 0.6775, 0.0908  0.0 0.0 0.0 1.0 1.0 1.0 
0.6000, 0.6149, 0.3406, 0.6548, 0.1150  0.0 0.0 0.0 1.0 1.0 1.0 
0.8000, 0.7886, 0.2316, 0.6075, 0.1237  0.0 0.0 0.0 1.0 1.0 1.0 
0.6167, 0.6800, 0.3262, 0.8650, 0.0447  0.0 0.0 0.0 1.0 1.0 1.0 
0.7222, 0.7526, 0.2727, 0.7893, 0.0666  0.0 0.0 0.0 1.0 1.0 1.0 
0.8111, 0.7733, 0.2930, 0.5598, 0.1437  0.0 0.0 0.0 1.0 1.0 1.0 
0.8333, 0.8128, 0.2417, 0.5887, 0.1384  0.0 0.0 0.0 1.0 1.0 1.0 
0.8667, 0.8241, 0.2230, 0.5871, 0.1218  0.0 0.0 0.0 1.0 1.0 1.0 
0.8667, 0.8370, 0.2034, 0.5433, 0.1695  0.0 0.0 0.0 1.0 1.0 1.0 
0.7000, 0.7118, 0.4911, 0.6518, 0.0867  0.0 0.0 1.0 0.0 0.0 0.0 
0.6778, 0.6899, 0.5716, 0.6463, 0.0844  0.0 0.0 1.0 0.0 0.0 0.0 
0.8778, 0.8283, 0.3613, 0.3560, 0.3648  0.0 0.0 1.0 0.0 0.0 0.0 
0.4667, 0.4628, 1.0000, 0.6729, 0.0483  0.0 0.0 1.0 0.0 0.0 0.0 
0.8889, 0.8545, 0.3056, 0.3895, 0.3498  0.0 0.0 1.0 0.0 0.0 0.0 
0.9000, 0.8711, 0.2592, 0.4740, 0.2355  0.0 0.0 1.0 0.0 0.0 0.0 
0.5222, 0.5376, 0.9288, 0.6478, 0.0621  0.0 0.0 1.0 0.0 0.0 0.0 
0.9111, 0.8757, 0.2804, 0.4176, 0.3054  0.0 0.0 1.0 0.0 0.0 0.0 
0.9778, 0.9233, 0.1873, 0.3895, 0.3584  0.0 0.0 1.0 0.0 0.0 0.0 
0.3444, 0.3926, 0.4495, 0.8420, 0.0287  0.0 0.0 1.0 0.0 0.0 1.0 
0.3556, 0.4125, 0.4750, 0.8333, 0.0363  0.0 0.0 1.0 0.0 0.0 1.0 
0.3333, 0.3830, 0.4531, 0.8531, 0.0275  0.0 0.0 1.0 0.0 0.0 1.0 
0.5333, 0.5562, 0.3629, 0.7626, 0.0447  0.0 0.0 1.0 0.0 0.0 1.0 
0.5444, 0.5632, 0.3777, 0.7423, 0.0526  0.0 0.0 1.0 0.0 0.0 1.0 
0.5444, 0.5732, 0.3571, 0.7515, 0.0537  0.0 0.0 1.0 0.0 0.0 1.0 
0.5889, 0.6118, 0.3428, 0.7151, 0.0665  0.0 0.0 1.0 0.0 0.0 1.0 
0.5778, 0.6086, 0.3050, 0.7599, 0.0469  0.0 0.0 1.0 0.0 0.0 1.0 
0.5333, 0.5514, 0.3772, 0.7611, 0.0419  0.0 0.0 1.0 0.0 0.0 1.0 
0.4778, 0.5395, 0.4095, 0.7839, 0.0557  0.0 0.0 1.0 0.0 1.0 0.0 
0.4778, 0.5242, 0.4521, 0.7637, 0.0692  0.0 0.0 1.0 0.0 1.0 0.0 
0.4444, 0.4361, 0.7124, 0.6572, 0.0957  0.0 0.0 1.0 0.0 1.0 0.0 
0.3889, 0.3817, 0.8161, 0.6890, 0.0699  0.0 0.0 1.0 0.0 1.0 0.0 
0.7667, 0.7133, 0.4799, 0.5312, 0.1610  0.0 0.0 1.0 0.0 1.0 0.0 
0.7778, 0.7057, 0.5478, 0.4844, 0.1911  0.0 0.0 1.0 0.0 1.0 0.0 
0.7222, 0.6884, 0.5521, 0.5340, 0.1516  0.0 0.0 1.0 0.0 1.0 0.0 
0.7333, 0.6894, 0.4911, 0.5505, 0.1574  0.0 0.0 1.0 0.0 1.0 0.0 
0.7889, 0.7178, 0.4989, 0.5291, 0.1440  0.0 0.0 1.0 0.0 1.0 0.0 
0.6889, 0.6592, 0.3850, 0.6968, 0.0681  0.0 0.0 1.0 0.0 1.0 1.0 
0.6889, 0.6453, 0.4607, 0.7049, 0.0569  0.0 0.0 1.0 0.0 1.0 1.0 
0.7000, 0.6612, 0.4327, 0.6872, 0.0625  0.0 0.0 1.0 0.0 1.0 1.0 
0.6611, 0.6285, 0.4383, 0.7032, 0.0587  0.0 0.0 1.0 0.0 1.0 1.0 
0.7222, 0.6467, 0.4710, 0.6923, 0.0423  0.0 0.0 1.0 0.0 1.0 1.0 
0.7222, 0.6858, 0.4177, 0.6993, 0.0567  0.0 0.0 1.0 0.0 1.0 1.0 
0.6889, 0.6524, 0.4290, 0.6721, 0.0803  0.0 0.0 1.0 0.0 1.0 1.0 
0.6889, 0.6424, 0.4270, 0.6781, 0.0696  0.0 0.0 1.0 0.0 1.0 1.0 
0.6889, 0.6460, 0.4236, 0.6995, 0.0556  0.0 0.0 1.0 0.0 1.0 1.0 
0.7889, 0.7502, 0.3223, 0.6201, 0.1088  0.0 0.0 1.0 1.0 0.0 0.0 
0.3667, 0.4433, 0.5289, 0.8690, 0.0218  0.0 0.0 1.0 1.0 0.0 0.0 
0.4056, 0.4543, 0.5435, 0.8062, 0.0453  0.0 0.0 1.0 1.0 0.0 0.0 
0.3778, 0.4269, 0.5180, 0.8043, 0.0599  0.0 0.0 1.0 1.0 0.0 0.0 
0.3444, 0.4245, 0.5298, 0.8689, 0.0239  0.0 0.0 1.0 1.0 0.0 0.0 
0.7778, 0.7527, 0.3164, 0.5857, 0.1527  0.0 0.0 1.0 1.0 0.0 0.0 
0.3444, 0.4267, 0.5488, 0.8579, 0.0392  0.0 0.0 1.0 1.0 0.0 0.0 
0.7667, 0.6984, 0.4831, 0.4788, 0.2270  0.0 0.0 1.0 1.0 0.0 0.0 
0.7889, 0.7435, 0.3751, 0.4967, 0.2391  0.0 0.0 1.0 1.0 0.0 0.0 
0.4333, 0.4809, 0.1968, 0.8641, 0.0732  0.0 0.0 1.0 1.0 0.0 1.0 
0.4222, 0.4650, 0.2003, 0.8717, 0.0615  0.0 0.0 1.0 1.0 0.0 1.0 
0.6667, 0.6454, 0.2545, 0.6744, 0.0717  0.0 0.0 1.0 1.0 0.0 1.0 
0.5556, 0.5606, 0.3090, 0.7464, 0.0482  0.0 0.0 1.0 1.0 0.0 1.0 
